"","Year","Zone","Station","Impact","ID","area","Species","abundance"
"1","2003","WF","8.1","Before",1,"WF","Oxsimpa",0
"2","2003","WF","8.1","Before",1,"WF","Rotsimpa",0
"3","2003","WF","8.1","Before",1,"WF","Sandskadda",0
"4","2003","WF","8.1","Before",1,"WF","Sjurygg",0
"5","2003","WF","8.1","Before",1,"WF","Skrubbskadda",0
"6","2003","WF","8.1","Before",1,"WF","Skaggsimpa",0
"7","2003","WF","8.1","Before",1,"WF","Stensnultra",0
"8","2003","WF","8.1","Before",1,"WF","Torsk",1
"9","2003","WF","8.1","Before",1,"WF","Tanglake",0
"10","2003","WF","8.1","Before",1,"WF","AL",0
"11","2003","WF","8.2","Before",2,"WF","Oxsimpa",0
"12","2003","WF","8.2","Before",2,"WF","Rotsimpa",1
"13","2003","WF","8.2","Before",2,"WF","Sandskadda",0
"14","2003","WF","8.2","Before",2,"WF","Sjurygg",0
"15","2003","WF","8.2","Before",2,"WF","Skrubbskadda",0
"16","2003","WF","8.2","Before",2,"WF","Skaggsimpa",0
"17","2003","WF","8.2","Before",2,"WF","Stensnultra",2
"18","2003","WF","8.2","Before",2,"WF","Torsk",4
"19","2003","WF","8.2","Before",2,"WF","Tanglake",4
"20","2003","WF","8.2","Before",2,"WF","AL",0
"21","2003","WF","8.3","Before",3,"WF","Oxsimpa",0
"22","2003","WF","8.3","Before",3,"WF","Rotsimpa",0
"23","2003","WF","8.3","Before",3,"WF","Sandskadda",0
"24","2003","WF","8.3","Before",3,"WF","Sjurygg",0
"25","2003","WF","8.3","Before",3,"WF","Skrubbskadda",0
"26","2003","WF","8.3","Before",3,"WF","Skaggsimpa",0
"27","2003","WF","8.3","Before",3,"WF","Stensnultra",0
"28","2003","WF","8.3","Before",3,"WF","Torsk",2
"29","2003","WF","8.3","Before",3,"WF","Tanglake",8
"30","2003","WF","8.3","Before",3,"WF","AL",1
"31","2003","WF","8.4","Before",4,"WF","Oxsimpa",0
"32","2003","WF","8.4","Before",4,"WF","Rotsimpa",1
"33","2003","WF","8.4","Before",4,"WF","Sandskadda",0
"34","2003","WF","8.4","Before",4,"WF","Sjurygg",0
"35","2003","WF","8.4","Before",4,"WF","Skrubbskadda",0
"36","2003","WF","8.4","Before",4,"WF","Skaggsimpa",0
"37","2003","WF","8.4","Before",4,"WF","Stensnultra",0
"38","2003","WF","8.4","Before",4,"WF","Torsk",4
"39","2003","WF","8.4","Before",4,"WF","Tanglake",4
"40","2003","WF","8.4","Before",4,"WF","AL",0
"41","2003","WF","8.5","Before",5,"WF","Oxsimpa",0
"42","2003","WF","8.5","Before",5,"WF","Rotsimpa",0
"43","2003","WF","8.5","Before",5,"WF","Sandskadda",0
"44","2003","WF","8.5","Before",5,"WF","Sjurygg",0
"45","2003","WF","8.5","Before",5,"WF","Skrubbskadda",0
"46","2003","WF","8.5","Before",5,"WF","Skaggsimpa",0
"47","2003","WF","8.5","Before",5,"WF","Stensnultra",1
"48","2003","WF","8.5","Before",5,"WF","Torsk",2
"49","2003","WF","8.5","Before",5,"WF","Tanglake",2
"50","2003","WF","8.5","Before",5,"WF","AL",0
"51","2003","WF","8.6","Before",6,"WF","Oxsimpa",0
"52","2003","WF","8.6","Before",6,"WF","Rotsimpa",0
"53","2003","WF","8.6","Before",6,"WF","Sandskadda",0
"54","2003","WF","8.6","Before",6,"WF","Sjurygg",0
"55","2003","WF","8.6","Before",6,"WF","Skrubbskadda",0
"56","2003","WF","8.6","Before",6,"WF","Skaggsimpa",0
"57","2003","WF","8.6","Before",6,"WF","Stensnultra",0
"58","2003","WF","8.6","Before",6,"WF","Torsk",1
"59","2003","WF","8.6","Before",6,"WF","Tanglake",2
"60","2003","WF","8.6","Before",6,"WF","AL",1
"61","2003","WF","8.7","Before",7,"WF","Oxsimpa",2
"62","2003","WF","8.7","Before",7,"WF","Rotsimpa",0
"63","2003","WF","8.7","Before",7,"WF","Sandskadda",0
"64","2003","WF","8.7","Before",7,"WF","Sjurygg",0
